Subbasin,cat,Region,AC_rank
0,0,Nepal,2
1,1676,Tibet,0
2,1562,Tibet,0
3,1558,Tibet,0
4,1560,Tibet,0
5,1770,Tibet,0
6,644,Tibet,3
7,596,Tibet,0
8,640,Tibet,3
9,1686,Tibet,0
10,1126,Tibet,3
11,1688,Tibet,0
12,1990,Tibet,0
13,1774,Tibet,0
14,654,Tibet,3
15,658,Tibet,3
16,710,Tibet,3
17,708,Tibet,3
18,642,Tibet,3
19,1994,Tibet,0
22,646,Tibet,3
23,1776,Tibet,0
24,638,Tibet,3
25,750,Tibet,3
26,1992,Tibet,0
27,1116,Tibet,3
28,588,Tibet,0
29,762,Tibet,3
30,598,Tibet,3
31,648,Tibet,3
32,650,Tibet,3
33,1120,Tibet,3
35,706,Tibet,3
37,752,Tibet,3
38,656,Tibet,3
39,652,Tibet,3
40,608,Tibet,3
41,748,Tibet,3
42,760,Tibet,3
43,612,Tibet,3
44,622,Tibet,3
45,1124,Tibet,3
47,758,Tibet,3
48,776,Tibet,3
49,1862,Tibet,0
50,606,Tibet,0
51,756,Tibet,3
52,702,Tibet,3
53,1122,Tibet,3
54,1110,Tibet,3
58,1874,Tibet,0
60,1868,Tibet,0
62,700,Tibet,3
64,1860,Tibet,0
68,670,Tibet,3
74,678,Tibet,3
75,674,Tibet,3
76,676,Tibet,3
78,704,Tibet,3
81,632,Tibet,3
83,712,Tibet,3
84,1870,Tibet,0
89,778,Tibet,3
90,616,Tibet,3
92,764,Tibet,3
94,746,Tibet,3
95,634,Tibet,3
97,774,Tibet,3
98,1872,Tibet,0
99,666,Tibet,3
100,770,Tibet,3
101,744,Tibet,3
102,754,Tibet,3
105,636,Tibet,3
106,714,Tibet,3
107,784,Tibet,3
109,610,Tibet,3
110,742,Tibet,3
111,1142,Tibet,0
113,630,Tibet,3
115,614,Tibet,3
117,724,Tibet,3
121,1140,Tibet,0
122,786,Tibet,3
124,624,Tibet,3
127,1128,Tibet,3
130,1138,Tibet,0
134,782,Tibet,3
139,668,Tibet,3
141,1884,Tibet,0
143,672,Tibet,3
144,738,Tibet,3
145,814,Tibet,3
147,816,Tibet,3
148,740,Tibet,3
153,1898,Tibet,0
155,680,Tibet,3
158,1886,Tibet,0
160,768,Tibet,3
161,664,Tibet,3
162,772,Tibet,3
163,780,Tibet,3
167,788,Tibet,3
168,808,Tibet,3
169,628,Tibet,3
170,626,Tibet,3
171,730,Tibet,3
172,812,Tibet,3
174,698,Tibet,3
175,718,Tibet,3
177,1038,Tibet,3
178,736,Tibet,3
179,810,Tibet,3
180,682,Tibet,3
181,818,Tibet,3
190,1034,Tibet,3
193,1914,Tibet,0
196,696,Tibet,3
214,1900,Tibet,0
220,794,Tibet,3
226,1916,Tibet,0
244,694,Tibet,3
245,856,Tibet,3
246,854,Tibet,3
257,858,Tibet,3
260,688,Tibet,3
276,806,Tibet,3
277,802,Tibet,3
284,1326,Tibet,0
291,1906,Tibet,0
299,1904,Tibet,0
304,684,Tibet,3
309,840,Tibet,3
314,722,Tibet,3
337,1074,Tibet,3
338,1068,Tibet,3
347,834,Tibet,3
358,832,Tibet,3
366,824,Tibet,3
367,864,Tibet,3
414,1062,Tibet,3
421,1334,Tibet,0
483,766,Tibet,3
484,790,Tibet,3
496,880,Tibet,3
510,734,Tibet,3
512,1058,Tibet,3
555,792,Tibet,3
599,1312,Tibet,0
609,1042,Tibet,3
610,626,Tibet,3
614,1316,Tibet,0
621,1336,Tibet,0
625,892,Tibet,3
635,2904,Tibet,0
639,796,Tibet,3
646,872,Tibet,3
647,1108,Tibet,3
671,1310,Tibet,3
672,1330,Tibet,0
689,822,Tibet,3
707,1108,Tibet,3
712,938,Tibet,3
720,1056,Tibet,3
742,1052,Tibet,3
751,1064,Tibet,3
756,884,Tibet,3
773,1070,Tibet,3
778,804,Tibet,3
797,838,Tibet,3
802,1076,Tibet,3
811,1338,Tibet,0
820,1072,Tibet,3
854,924,Tibet,3
855,868,Tibet,3
856,2620,India,0
868,820,Tibet,3
874,1060,Tibet,3
899,836,Tibet,3
925,914,Tibet,3
926,878,Tibet,3
959,2906,Tibet,0
990,1080,Tibet,3
995,860,Tibet,3
996,1086,Tibet,3
1015,846,Tibet,3
1021,850,Tibet,3
1031,798,Tibet,3
1032,842,Tibet,3
1033,6284,Tibet,3
1035,1078,Tibet,3
1058,922,Tibet,3
1063,888,Tibet,3
1082,800,Tibet,3
1084,848,Tibet,3
1100,866,Tibet,3
1101,862,Tibet,3
1102,894,Tibet,3
1111,844,Tibet,3
1126,930,Tibet,3
1136,6274,Tibet,3
1140,928,Tibet,3
1143,406,Tibet,0
1160,932,Tibet,3
1177,1084,Tibet,3
1215,6282,Tibet,3
1254,912,Tibet,3
1259,6276,Tibet,3
1288,2614,India,0
1313,6280,Tibet,3
1314,1082,Tibet,3
1341,900,Tibet,3
1342,2850,Tibet,0
1408,920,Tibet,3
1431,6270,Tibet,3
1441,2608,India,0
1461,6264,Tibet,3
1462,6268,Tibet,3
1508,6272,Tibet,3
1593,910,Tibet,3
1597,2848,Tibet,0
1615,1264,Tibet,0
1621,982,Tibet,3
1641,2618,India,0
1642,2616,India,0
1643,412,Tibet,0
1669,898,Tibet,3
1682,916,Tibet,3
1683,918,Tibet,3
1688,6286,Tibet,3
1710,986,Tibet,3
1728,410,Tibet,0
1730,1100,Tibet,3
1737,6288,Tibet,3
1763,990,Tibet,3
1767,886,Tibet,3
1773,1096,Tibet,3
1792,960,Tibet,3
1802,6290,Tibet,3
1803,6266,Tibet,3
1808,1252,Tibet,0
1812,896,Tibet,3
1816,902,Tibet,3
1828,960,Tibet,3
1830,4278,India,3
1833,6250,Tibet,3
1840,6262,Tibet,3
1841,6260,Tibet,3
1842,6254,Tibet,3
1851,984,Tibet,3
1854,4300,India,3
1855,4296,India,3
1864,4282,India,3
1867,2630,India,0
1868,1106,Tibet,3
1873,988,Tibet,3
1880,1002,Tibet,3
1883,6314,Tibet,3
1888,6318,Tibet,3
1891,6300,Tibet,3
1894,6322,Tibet,3
1909,904,Tibet,3
1914,992,Tibet,3
1917,950,Tibet,3
1918,952,Tibet,3
1920,998,Tibet,3
1921,908,Tibet,3
1923,2942,Tibet,0
1924,996,Tibet,3
1925,4462,India,3
1926,1240,Tibet,0
1927,1238,Tibet,0
1928,6258,Tibet,3
1930,6306,Tibet,3
1931,994,Tibet,3
1932,4280,India,3
1933,6256,Tibet,3
1934,2992,Tibet,0
1935,6308,Tibet,3
1938,1026,Tibet,3
1940,6252,Tibet,3
1941,6292,Tibet,3
1943,2960,Tibet,0
1944,2962,Tibet,0
1945,6248,Tibet,3
1946,2954,Tibet,0
1947,1008,Tibet,3
1948,4298,India,3
1949,4302,India,3
1950,6324,Tibet,3
1951,1256,Tibet,0
1952,2996,Tibet,0
1953,2956,Tibet,0
1954,6316,Tibet,3
1956,6320,Tibet,3
1957,2664,India,0
1958,4274,India,3
1959,6326,Tibet,3
1960,1262,Tibet,0
1961,6302,Tibet,3
1963,1260,Tibet,0
1964,4276,India,3
1965,958,Tibet,3
1967,1020,Tibet,3
1968,4294,India,3
1969,966,Tibet,3
1971,6304,Tibet,3
1972,2990,Tibet,0
1973,2988,Tibet,0
1974,4478,India,3
1976,6294,Tibet,3
1977,962,Tibet,3
1978,980,Tibet,3
1981,4286,India,3
1983,1018,Tibet,3
1984,6310,Tibet,3
1991,6330,Tibet,3
1992,1004,Tibet,3
1993,6240,Tibet,3
1994,1006,Tibet,3
1995,956,Tibet,3
1997,968,Tibet,3
2000,972,Tibet,3
2002,1028,Tibet,3
2003,6360,Tibet,3
2006,954,Tibet,3
2007,976,Tibet,3
2008,6352,Tibet,3
2009,6238,Tibet,3
2010,974,Tibet,3
2011,4304,India,3
2012,4464,India,3
2013,6332,Tibet,3
2015,6296,Tibet,3
2016,6298,Tibet,3
2017,4272,India,3
2018,4460,India,3
2019,6246,Tibet,3
2020,6236,Tibet,3
2021,2998,Tibet,0
2023,6350,Tibet,3
2026,4292,India,3
2028,4480,India,3
2029,6242,Tibet,3
2031,4288,India,3
2032,4284,India,3
2033,6244,Tibet,3
2035,1010,Tibet,3
2038,1012,Tibet,3
2040,1022,Tibet,3
2041,6328,Tibet,3
2042,1024,Tibet,3
2044,4458,India,3
2050,4568,India,3
2051,6334,Tibet,3
2052,6234,Tibet,3
2053,2666,India,0
2054,4570,India,3
2055,6336,Tibet,3
2056,4270,India,3
2057,4328,India,3
