Subbasin ,Inter_annual_P,Inter_annual_T,Intra_annual_P,Intra_annual_T,New_Inter_P,New_Inter_T,New_Intra_P,New_Intra_T,Norm_Inter_P,Norm_Inter_T,Norm_Intra_P,Norm_Intra_T,Average_P,Average_T,Combined,Norm_Combined 
0,0.077,0.058,0.745,1.07,0.077,0.058,0.745,1.07,0.816,0.202,0.65,0.227,0.733,0.214,0.474,0.097
1,0.092,0.042,0.551,0.808,0.092,0.042,0.551,0.808,0.982,0.146,0.481,0.171,0.732,0.159,0.445,0.043
2,0.089,0.041,0.555,0.786,0.089,0.041,0.555,0.786,0.948,0.141,0.484,0.167,0.716,0.154,0.435,0.023
3,0.085,0.041,0.564,0.787,0.085,0.041,0.564,0.787,0.907,0.141,0.492,0.167,0.699,0.154,0.427,0.008
4,0.086,0.041,0.563,0.788,0.086,0.041,0.563,0.788,0.91,0.141,0.491,0.167,0.7,0.154,0.427,0.009
5,0.093,0.048,0.564,0.895,0.093,0.048,0.564,0.895,0.992,0.166,0.492,0.19,0.742,0.178,0.46,0.071
6,0.09,0.042,0.554,0.798,0.09,0.042,0.554,0.798,0.955,0.145,0.483,0.169,0.719,0.157,0.438,0.029
7,0.079,0.044,0.602,0.842,0.079,0.044,0.602,0.842,0.835,0.152,0.525,0.179,0.68,0.165,0.423,0
8,0.086,0.043,0.565,0.815,0.086,0.043,0.565,0.815,0.913,0.148,0.493,0.173,0.703,0.16,0.432,0.017
9,0.093,0.044,0.55,0.824,0.093,0.044,0.55,0.824,0.993,0.151,0.479,0.175,0.736,0.163,0.45,0.051
10,0.08,0.045,0.598,0.856,0.08,0.045,0.598,0.856,0.854,0.156,0.521,0.182,0.688,0.169,0.428,0.011
11,0.094,0.044,0.55,0.834,0.094,0.044,0.55,0.834,1,0.154,0.48,0.177,0.74,0.165,0.453,0.057
12,0.09,0.059,0.592,1.083,0.09,0.059,0.592,1.083,0.959,0.204,0.516,0.23,0.738,0.217,0.477,0.104
13,0.093,0.048,0.566,0.902,0.093,0.048,0.566,0.902,0.992,0.168,0.494,0.191,0.743,0.18,0.461,0.073
14,0.091,0.045,0.555,0.841,0.091,0.045,0.555,0.841,0.971,0.154,0.483,0.178,0.727,0.166,0.447,0.046
15,0.093,0.048,0.557,0.9,0.093,0.048,0.557,0.9,0.983,0.168,0.486,0.191,0.734,0.179,0.457,0.065
16,0.094,0.048,0.561,0.884,0.094,0.048,0.561,0.884,0.996,0.165,0.489,0.188,0.743,0.176,0.459,0.07
17,0.094,0.046,0.554,0.865,0.094,0.046,0.554,0.865,0.997,0.161,0.483,0.183,0.74,0.172,0.456,0.064
18,0.086,0.044,0.567,0.834,0.086,0.044,0.567,0.834,0.915,0.152,0.494,0.177,0.705,0.165,0.435,0.023
19,0.088,0.066,0.611,1.196,0.088,0.066,0.611,1.196,0.938,0.229,0.533,0.254,0.735,0.241,0.488,0.125
22,0.089,0.043,0.559,0.825,0.089,0.043,0.559,0.825,0.947,0.151,0.487,0.175,0.717,0.163,0.44,0.033
23,0.092,0.053,0.578,0.972,0.092,0.053,0.578,0.972,0.975,0.183,0.504,0.206,0.74,0.195,0.467,0.085
24,0.086,0.052,0.577,0.977,0.086,0.052,0.577,0.977,0.915,0.182,0.503,0.207,0.709,0.195,0.452,0.055
25,0.093,0.052,0.568,0.947,0.093,0.052,0.568,0.947,0.987,0.179,0.496,0.201,0.741,0.19,0.465,0.082
26,0.089,0.061,0.603,1.119,0.089,0.061,0.603,1.119,0.945,0.213,0.526,0.237,0.735,0.225,0.48,0.11
27,0.081,0.057,0.604,1.052,0.081,0.057,0.604,1.052,0.86,0.197,0.527,0.223,0.693,0.21,0.452,0.055
28,0.076,0.057,0.63,1.071,0.076,0.057,0.63,1.071,0.81,0.198,0.55,0.227,0.68,0.213,0.446,0.045
29,0.09,0.055,0.589,1.014,0.09,0.055,0.589,1.014,0.961,0.192,0.513,0.215,0.737,0.204,0.47,0.091
30,0.076,0.06,0.635,1.116,0.076,0.06,0.635,1.116,0.811,0.208,0.554,0.237,0.683,0.222,0.452,0.057
