Subbasin	Fire_Value	landslide_value	GLOF_Value	Flood_value	New_fire	New_Landslide	New_GLOF	New_Flood	Fire_normalized	ls_normalized	GLOF_normalized	Flood_normalized	Combined	Comb_norm	old
0	0.000	0.222	0.000	0.000	0.000	0.222	0.000	0.000	0.000	0.599	0.000	0.000	0.150	0.261	0.041
1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.000	0.102	0.027	0.000	0.000	0.102	0.027	0.000	0.000	0.275	0.037	0.000	0.078	0.136	0.024
7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.000	0.106	0.089	0.000	0.000	0.106	0.089	0.000	0.000	0.285	0.123	0.000	0.102	0.178	0.036
9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	0.000	0.115	0.443	0.000	0.000	0.115	0.443	0.000	0.000	0.310	0.610	0.000	0.230	0.401	0.102
11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14	0.000	0.119	0.233	0.000	0.000	0.119	0.233	0.000	0.000	0.323	0.321	0.000	0.161	0.281	0.065
15	0.000	0.116	0.186	0.000	0.000	0.116	0.186	0.000	0.000	0.314	0.256	0.000	0.143	0.249	0.055
16	0.000	0.107	0.348	1.000	0.000	0.107	0.348	1.000	0.000	0.289	0.479	0.200	0.242	0.422	0.267
17	0.000	0.108	0.357	1.000	0.000	0.108	0.357	1.000	0.000	0.292	0.492	0.200	0.246	0.429	0.268
18	0.000	0.137	0.000	0.000	0.000	0.137	0.000	0.000	0.000	0.370	0.000	0.000	0.092	0.161	0.025
19	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.000	0.118	0.000	0.000	0.000	0.118	0.000	0.000	0.000	0.319	0.000	0.000	0.080	0.139	0.022
23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.000	0.137	0.413	0.000	0.000	0.137	0.413	0.000	0.000	0.371	0.569	0.000	0.235	0.410	0.101
25	0.000	0.111	0.000	0.000	0.000	0.111	0.000	0.000	0.000	0.301	0.000	0.000	0.075	0.131	0.020
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.000	0.114	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.308	0.000	0.000	0.077	0.134	0.021
28	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
29	0.000	0.088	0.049	0.000	0.000	0.088	0.049	0.000	0.000	0.239	0.067	0.000	0.077	0.134	0.025
30	0.000	0.060	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.161	0.000	0.000	0.040	0.070	0.011
31	0.000	0.132	0.000	0.000	0.000	0.132	0.000	0.000	0.000	0.358	0.000	0.000	0.089	0.156	0.024
32	0.000	0.138	0.000	0.000	0.000	0.138	0.000	0.000	0.000	0.374	0.000	0.000	0.093	0.163	0.025
33	0.000	0.139	0.000	0.000	0.000	0.139	0.000	0.000	0.000	0.376	0.000	0.000	0.094	0.164	0.025
35	0.000	0.129	0.079	1.000	0.000	0.129	0.079	1.000	0.000	0.350	0.109	0.200	0.165	0.287	0.221
37	0.000	0.114	0.000	1.000	0.000	0.114	0.000	1.000	0.000	0.308	0.000	0.200	0.127	0.221	0.204
38	0.000	0.123	0.086	0.000	0.000	0.123	0.086	0.000	0.000	0.333	0.118	0.000	0.113	0.197	0.038
39	0.000	0.131	0.000	0.000	0.000	0.131	0.000	0.000	0.000	0.354	0.000	0.000	0.089	0.154	0.024
40	0.000	0.099	0.000	3.000	0.000	0.099	0.000	3.000	0.000	0.269	0.000	0.600	0.217	0.379	0.568
41	0.000	0.103	0.008	0.000	0.000	0.103	0.000	0.000	0.000	0.277	0.000	0.000	0.069	0.121	0.019
42	0.000	0.103	0.091	0.000	0.000	0.103	0.091	0.000	0.000	0.280	0.125	0.000	0.101	0.177	0.036
43	0.000	0.100	0.000	3.000	0.000	0.100	0.000	3.000	0.000	0.270	0.000	0.600	0.217	0.379	0.568
44	0.000	0.100	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.270	0.000	0.000	0.068	0.118	0.018
45	0.000	0.106	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.287	0.000	0.000	0.072	0.125	0.019
47	0.000	0.134	0.007	0.000	0.000	0.134	0.000	0.000	0.000	0.362	0.000	0.000	0.090	0.158	0.025
48	0.000	0.117	0.000	0.000	0.000	0.117	0.000	0.000	0.000	0.315	0.000	0.000	0.079	0.137	0.021
49	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50	0.000	0.000	0.000	3.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.600	0.150	0.262	0.550
51	0.000	0.104	0.000	0.000	0.000	0.104	0.000	0.000	0.000	0.281	0.000	0.000	0.070	0.122	0.019
52	0.000	0.119	0.000	1.000	0.000	0.119	0.000	1.000	0.000	0.323	0.000	0.200	0.131	0.228	0.205
53	0.000	0.101	0.000	0.000	0.000	0.101	0.000	0.000	0.000	0.273	0.000	0.000	0.068	0.119	0.018
54	0.000	0.100	0.000	3.000	0.000	0.100	0.000	3.000	0.000	0.269	0.000	0.600	0.217	0.379	0.568
58	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
62	0.000	0.132	0.000	1.000	0.000	0.132	0.000	1.000	0.000	0.358	0.000	0.200	0.139	0.243	0.207
64	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68	0.000	0.120	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.324	0.000	0.000	0.081	0.141	0.022
74	0.000	0.121	0.000	1.000	0.000	0.121	0.000	1.000	0.000	0.327	0.000	0.200	0.132	0.230	0.205
75	0.000	0.122	0.000	0.000	0.000	0.122	0.000	0.000	0.000	0.331	0.000	0.000	0.083	0.144	0.022
76	0.000	0.131	0.000	0.000	0.000	0.131	0.000	0.000	0.000	0.354	0.000	0.000	0.089	0.154	0.024
78	0.000	0.140	0.000	1.000	0.000	0.140	0.000	1.000	0.000	0.379	0.000	0.200	0.145	0.253	0.209
81	0.000	0.100	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.270	0.000	0.000	0.068	0.118	0.018
83	0.000	0.125	0.000	1.000	0.000	0.125	0.000	1.000	0.000	0.337	0.000	0.200	0.134	0.234	0.206
84	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89	0.000	0.107	0.000	0.000	0.000	0.107	0.000	0.000	0.000	0.288	0.000	0.000	0.072	0.126	0.020
90	0.000	0.099	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.269	0.000	0.000	0.067	0.117	0.018
92	0.000	0.112	0.000	1.000	0.000	0.112	0.000	1.000	0.000	0.302	0.000	0.200	0.126	0.219	0.204
94	0.000	0.123	0.000	0.000	0.000	0.123	0.000	0.000	0.000	0.333	0.000	0.000	0.083	0.145	0.023
95	0.000	0.100	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.270	0.000	0.000	0.068	0.118	0.018
97	0.000	0.143	0.000	1.000	0.000	0.143	0.000	1.000	0.000	0.387	0.000	0.200	0.147	0.256	0.209
98	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
99	0.000	0.106	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.287	0.000	0.000	0.072	0.125	0.019
100	0.000	0.126	0.000	1.000	0.000	0.126	0.000	1.000	0.000	0.341	0.000	0.200	0.135	0.236	0.206
101	0.000	0.131	0.000	0.000	0.000	0.131	0.000	0.000	0.000	0.353	0.000	0.000	0.088	0.154	0.024
102	0.000	0.105	0.000	0.000	0.000	0.105	0.000	0.000	0.000	0.283	0.000	0.000	0.071	0.123	0.019
105	0.000	0.104	0.000	0.000	0.000	0.104	0.000	0.000	0.000	0.281	0.000	0.000	0.070	0.123	0.019
106	0.000	0.149	0.000	1.000	0.000	0.149	0.000	1.000	0.000	0.402	0.000	0.200	0.150	0.262	0.210
107	0.000	0.129	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.349	0.000	0.000	0.087	0.152	0.024
109	0.000	0.107	0.000	3.000	0.000	0.107	0.000	3.000	0.000	0.290	0.000	0.600	0.223	0.388	0.569
110	0.000	0.128	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.347	0.000	0.000	0.087	0.151	0.024
111	0.000	0.000	0.000	3.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.600	0.150	0.262	0.550
113	0.000	0.099	0.000	3.000	0.000	0.099	0.000	3.000	0.000	0.267	0.000	0.600	0.217	0.378	0.568
115	0.000	0.107	0.000	3.000	0.000	0.107	0.000	3.000	0.000	0.290	0.000	0.600	0.223	0.388	0.569
117	0.000	0.135	0.000	1.000	0.000	0.135	0.000	1.000	0.000	0.365	0.000	0.200	0.141	0.246	0.208
121	0.000	0.000	0.000	3.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.600	0.150	0.262	0.550
122	0.000	0.130	0.000	1.000	0.000	0.130	0.000	1.000	0.000	0.352	0.000	0.200	0.138	0.241	0.207
124	0.000	0.105	0.000	3.000	0.000	0.105	0.000	3.000	0.000	0.283	0.000	0.600	0.221	0.385	0.569
127	0.000	0.140	0.000	3.000	0.000	0.140	0.000	3.000	0.000	0.379	0.000	0.600	0.245	0.427	0.575
130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
134	0.000	0.132	0.000	1.000	0.000	0.132	0.000	1.000	0.000	0.356	0.000	0.200	0.139	0.243	0.207
