Subbasin,Region,Sensitivity
0,Nepal,1
1,Tibet,0
2,Tibet,0
3,Tibet,0
4,Tibet,0
5,Tibet,0
6,Tibet,1
7,Tibet,0
8,Tibet,1
9,Tibet,0
10,Tibet,0
11,Tibet,0
12,Tibet,0
13,Tibet,0
14,Tibet,5
15,Tibet,1
16,Tibet,0
17,Tibet,0
18,Tibet,3
19,Tibet,0
22,Tibet,5
23,Tibet,0
24,Tibet,5
25,Tibet,0
26,Tibet,0
27,Tibet,0
28,Tibet,0
29,Tibet,0
30,Tibet,0
31,Tibet,4
32,Tibet,5
33,Tibet,0
35,Tibet,0
37,Tibet,0
38,Tibet,1
39,Tibet,3
40,Tibet,0
41,Tibet,0
42,Tibet,0
43,Tibet,0
44,Tibet,0
45,Tibet,0
47,Tibet,0
48,Tibet,0
49,Tibet,0
50,Tibet,0
51,Tibet,0
52,Tibet,0
53,Tibet,0
54,Tibet,0
58,Tibet,0
60,Tibet,0
62,Tibet,1
64,Tibet,0
68,Tibet,0
74,Tibet,0
75,Tibet,0
76,Tibet,0
78,Tibet,0
81,Tibet,0
83,Tibet,0
84,Tibet,0
89,Tibet,0
90,Tibet,0
92,Tibet,0
94,Tibet,0
95,Tibet,0
97,Tibet,0
98,Tibet,0
99,Tibet,0
100,Tibet,0
101,Tibet,0
102,Tibet,0
105,Tibet,0
106,Tibet,1
107,Tibet,0
109,Tibet,0
110,Tibet,0
111,Tibet,0
113,Tibet,1
115,Tibet,0
117,Tibet,1
121,Tibet,0
122,Tibet,0
124,Tibet,0
127,Tibet,0
130,Tibet,0
134,Tibet,0
139,Tibet,0
141,Tibet,0
143,Tibet,0
144,Tibet,0
145,Tibet,0
147,Tibet,0
148,Tibet,0
153,Tibet,0
155,Tibet,0
158,Tibet,0
160,Tibet,1
161,Tibet,1
162,Tibet,0
163,Tibet,0
167,Tibet,0
168,Tibet,0
169,Tibet,0
170,Tibet,1
171,Tibet,1
172,Tibet,0
174,Tibet,1
175,Tibet,1
177,Tibet,1
178,Tibet,1
179,Tibet,0
180,Tibet,1
181,Tibet,0
190,Tibet,1
193,Tibet,0
196,Tibet,1
214,Tibet,0
220,Tibet,0
226,Tibet,0
244,Tibet,1
245,Tibet,0
246,Tibet,0
257,Tibet,0
260,Tibet,1
276,Tibet,0
277,Tibet,0
284,Tibet,0
291,Tibet,0
299,Tibet,0
304,Tibet,1
309,Tibet,0
314,Tibet,1
337,Tibet,0
338,Tibet,0
347,Tibet,0
358,Tibet,0
366,Tibet,0
367,Tibet,0
414,Tibet,0
421,Tibet,0
483,Tibet,1
484,Tibet,1
496,Tibet,0
510,Tibet,1
512,Tibet,0
555,Tibet,1
599,Tibet,0
609,Tibet,1
610,Tibet,0
614,Tibet,0
621,Tibet,0
625,Tibet,0
635,Tibet,0
639,Tibet,0
646,Tibet,0
647,Tibet,1
671,Tibet,0
672,Tibet,0
689,Tibet,0
707,Tibet,1
712,Tibet,1
720,Tibet,0
742,Tibet,1
751,Tibet,0
756,Tibet,0
773,Tibet,0
778,Tibet,0
797,Tibet,0
802,Tibet,0
811,Tibet,0
820,Tibet,0
854,Tibet,1
855,Tibet,0
856,India,1
868,Tibet,0
874,Tibet,0
899,Tibet,0
925,Tibet,0
926,Tibet,0
959,Tibet,0
990,Tibet,0
995,Tibet,0
996,Tibet,1
1015,Tibet,0
1021,Tibet,0
1031,Tibet,0
1032,Tibet,0
1033,Tibet,0
1035,Tibet,0
1058,Tibet,0
1063,Tibet,0
1082,Tibet,0
1084,Tibet,0
1100,Tibet,0
1101,Tibet,0
1102,Tibet,0
1111,Tibet,0
1126,Tibet,0
1136,Tibet,0
1140,Tibet,1
1143,Tibet,1
1160,Tibet,0
1177,Tibet,0
1215,Tibet,0
